"","year","date.deploy","DOY","trap.no","treatment","Location","notes","species","value"
"153",2015,2015-08-07,219,14,"A","Fuel Dump",NA,"sculpin",0
"154",2015,2015-08-07,219,14,"A","Fuel Dump",NA,"3-spine",2
"155",2015,2015-08-07,219,1,"C","Fuel Dump",NA,"sculpin",2
"156",2015,2015-08-07,219,1,"C","Fuel Dump",NA,"3-spine",0
"157",2015,2015-08-07,219,4,"C","Fuel Dump",NA,"sculpin",0
"158",2015,2015-08-07,219,4,"C","Fuel Dump",NA,"3-spine",3
"159",2015,2015-08-07,219,7,"C","Fuel Dump",NA,"sculpin",1
"160",2015,2015-08-07,219,7,"C","Fuel Dump",NA,"3-spine",0
"161",2015,2015-08-07,219,10,"C","Fuel Dump",NA,"sculpin",1
"162",2015,2015-08-07,219,10,"C","Fuel Dump",NA,"3-spine",4
"163",2015,2015-08-07,219,13,"C","Fuel Dump",NA,"sculpin",1
"164",2015,2015-08-07,219,13,"C","Fuel Dump",NA,"3-spine",2
"165",2015,2015-08-07,219,3,"E","Fuel Dump",NA,"sculpin",7
"166",2015,2015-08-07,219,3,"E","Fuel Dump",NA,"3-spine",0
"167",2015,2015-08-07,219,6,"E","Fuel Dump",NA,"sculpin",1
"168",2015,2015-08-07,219,6,"E","Fuel Dump",NA,"3-spine",0
"169",2015,2015-08-07,219,9,"E","Fuel Dump",NA,"sculpin",8
"170",2015,2015-08-07,219,9,"E","Fuel Dump",NA,"3-spine",0
"171",2015,2015-08-07,219,12,"E","Fuel Dump",NA,"sculpin",6
"172",2015,2015-08-07,219,12,"E","Fuel Dump",NA,"3-spine",1
"173",2015,2015-08-07,219,15,"E","Fuel Dump",NA,"sculpin",2
"174",2015,2015-08-07,219,15,"E","Fuel Dump",NA,"3-spine",3
"175",2015,2015-08-09,221,15,"E","Woody",NA,"sculpin",1
"176",2015,2015-08-09,221,15,"E","Woody",NA,"3-spine",1
"177",2015,2015-08-09,221,2,"A","Woody",NA,"sculpin",0
"178",2015,2015-08-09,221,2,"A","Woody",NA,"3-spine",4
"179",2015,2015-08-09,221,5,"A","Woody",NA,"sculpin",1
"180",2015,2015-08-09,221,5,"A","Woody",NA,"3-spine",0
"181",2015,2015-08-09,221,8,"A","Woody",NA,"sculpin",3
"182",2015,2015-08-09,221,8,"A","Woody",NA,"3-spine",1
"183",2015,2015-08-09,221,11,"A","Woody",NA,"sculpin",1
"184",2015,2015-08-09,221,11,"A","Woody",NA,"3-spine",0
"185",2015,2015-08-09,221,14,"A","Woody",NA,"sculpin",0
"186",2015,2015-08-09,221,14,"A","Woody",NA,"3-spine",3
"187",2015,2015-08-09,221,1,"C","Woody",NA,"sculpin",2
"188",2015,2015-08-09,221,1,"C","Woody",NA,"3-spine",3
"189",2015,2015-08-09,221,4,"C","Woody",NA,"sculpin",1
"190",2015,2015-08-09,221,4,"C","Woody",NA,"3-spine",3
"191",2015,2015-08-09,221,7,"C","Woody",NA,"sculpin",7
"192",2015,2015-08-09,221,7,"C","Woody",NA,"3-spine",0
"193",2015,2015-08-09,221,10,"C","Woody",NA,"sculpin",64
"194",2015,2015-08-09,221,10,"C","Woody",NA,"3-spine",0
"195",2015,2015-08-09,221,13,"C","Woody",NA,"sculpin",4
"196",2015,2015-08-09,221,13,"C","Woody",NA,"3-spine",1
"197",2015,2015-08-09,221,3,"E","Woody",NA,"sculpin",0
"198",2015,2015-08-09,221,3,"E","Woody",NA,"3-spine",0
"199",2015,2015-08-09,221,6,"E","Woody",NA,"sculpin",4
"200",2015,2015-08-09,221,6,"E","Woody",NA,"3-spine",0
"201",2015,2015-08-09,221,9,"E","Woody",NA,"sculpin",8
"202",2015,2015-08-09,221,9,"E","Woody",NA,"3-spine",0
"203",2015,2015-08-09,221,12,"E","Woody",NA,"sculpin",8
"204",2015,2015-08-09,221,12,"E","Woody",NA,"3-spine",3
"205",2020,2020-08-04,217,2,"A","Fuel Dump",NA,"sculpin",1
"206",2020,2020-08-04,217,2,"A","Fuel Dump",NA,"3-spine",16
"207",2020,2020-08-04,217,4,"A","Fuel Dump",NA,"sculpin",3
"208",2020,2020-08-04,217,4,"A","Fuel Dump",NA,"3-spine",1
"209",2020,2020-08-04,217,15,"A","Fuel Dump",NA,"sculpin",1
"210",2020,2020-08-04,217,15,"A","Fuel Dump",NA,"3-spine",10
"211",2020,2020-08-04,217,17,"A","Fuel Dump",NA,"sculpin",4
"212",2020,2020-08-04,217,17,"A","Fuel Dump",NA,"3-spine",8
"213",2020,2020-08-04,217,18,"A","Fuel Dump",NA,"sculpin",2
"214",2020,2020-08-04,217,18,"A","Fuel Dump",NA,"3-spine",13
"215",2020,2020-08-04,217,1,"C","Fuel Dump",NA,"sculpin",2
"216",2020,2020-08-04,217,1,"C","Fuel Dump",NA,"3-spine",10
"217",2020,2020-08-04,217,10,"C","Fuel Dump",NA,"sculpin",0
"218",2020,2020-08-04,217,10,"C","Fuel Dump",NA,"3-spine",8
"219",2020,2020-08-04,217,11,"C","Fuel Dump",NA,"sculpin",0
"220",2020,2020-08-04,217,11,"C","Fuel Dump",NA,"3-spine",0
"221",2020,2020-08-04,217,12,"C","Fuel Dump",NA,"sculpin",1
"222",2020,2020-08-04,217,12,"C","Fuel Dump",NA,"3-spine",3
"223",2020,2020-08-04,217,19,"C","Fuel Dump",NA,"sculpin",0
"224",2020,2020-08-04,217,19,"C","Fuel Dump",NA,"3-spine",1
"225",2020,2020-08-04,217,6,"E","Fuel Dump",NA,"sculpin",73
"226",2020,2020-08-04,217,6,"E","Fuel Dump",NA,"3-spine",43
"227",2020,2020-08-04,217,7,"E","Fuel Dump",NA,"sculpin",69
"228",2020,2020-08-04,217,7,"E","Fuel Dump",NA,"3-spine",8
"229",2020,2020-08-04,217,8,"E","Fuel Dump",NA,"sculpin",9
"230",2020,2020-08-04,217,8,"E","Fuel Dump",NA,"3-spine",25
"231",2020,2020-08-04,217,16,"E","Fuel Dump",NA,"sculpin",42
"232",2020,2020-08-04,217,16,"E","Fuel Dump",NA,"3-spine",8
"233",2020,2020-08-04,217,20,"E","Fuel Dump",NA,"sculpin",142
"234",2020,2020-08-04,217,20,"E","Fuel Dump",NA,"3-spine",17
"235",2020,2020-08-04,217,3,"J","Fuel Dump",NA,"sculpin",6
"236",2020,2020-08-04,217,3,"J","Fuel Dump",NA,"3-spine",9
"237",2020,2020-08-04,217,5,"J","Fuel Dump","1 jumbo sculpin","sculpin",2
"238",2020,2020-08-04,217,5,"J","Fuel Dump","1 jumbo sculpin","3-spine",1
"239",2020,2020-08-04,217,9,"J","Fuel Dump",NA,"sculpin",3
"240",2020,2020-08-04,217,9,"J","Fuel Dump",NA,"3-spine",8
"241",2020,2020-08-04,217,13,"J","Fuel Dump",NA,"sculpin",0
"242",2020,2020-08-04,217,13,"J","Fuel Dump",NA,"3-spine",2
"243",2020,2020-08-04,217,14,"J","Fuel Dump",NA,"sculpin",9
"244",2020,2020-08-04,217,14,"J","Fuel Dump",NA,"3-spine",2
"245",2020,2020-08-05,218,19,"A","Fuel Dump",NA,"sculpin",1
"246",2020,2020-08-05,218,19,"A","Fuel Dump",NA,"3-spine",0
"247",2020,2020-08-05,218,18,"A","Fuel Dump",NA,"sculpin",0
"248",2020,2020-08-05,218,18,"A","Fuel Dump",NA,"3-spine",0
"249",2020,2020-08-05,218,16,"A","Fuel Dump",NA,"sculpin",0
"250",2020,2020-08-05,218,16,"A","Fuel Dump",NA,"3-spine",0
"251",2020,2020-08-05,218,14,"A","Fuel Dump",NA,"sculpin",0
"252",2020,2020-08-05,218,14,"A","Fuel Dump",NA,"3-spine",0
"253",2020,2020-08-05,218,13,"A","Fuel Dump",NA,"sculpin",0
"254",2020,2020-08-05,218,13,"A","Fuel Dump",NA,"3-spine",0
"255",2020,2020-08-05,218,17,"C","Fuel Dump",NA,"sculpin",0
"256",2020,2020-08-05,218,17,"C","Fuel Dump",NA,"3-spine",0
"257",2020,2020-08-05,218,15,"C","Fuel Dump",NA,"sculpin",0
"258",2020,2020-08-05,218,15,"C","Fuel Dump",NA,"3-spine",0
"259",2020,2020-08-05,218,7,"C","Fuel Dump",NA,"sculpin",0
"260",2020,2020-08-05,218,7,"C","Fuel Dump",NA,"3-spine",1
"261",2020,2020-08-05,218,6,"C","Fuel Dump",NA,"sculpin",0
"262",2020,2020-08-05,218,6,"C","Fuel Dump",NA,"3-spine",0
"263",2020,2020-08-05,218,1,"C","Fuel Dump",NA,"sculpin",1
"264",2020,2020-08-05,218,1,"C","Fuel Dump",NA,"3-spine",0
"265",2020,2020-08-05,218,20,"E","Fuel Dump",NA,"sculpin",5
"266",2020,2020-08-05,218,20,"E","Fuel Dump",NA,"3-spine",2
"267",2020,2020-08-05,218,12,"E","Fuel Dump",NA,"sculpin",15
"268",2020,2020-08-05,218,12,"E","Fuel Dump",NA,"3-spine",0
"269",2020,2020-08-05,218,11,"E","Fuel Dump",NA,"sculpin",52
"270",2020,2020-08-05,218,11,"E","Fuel Dump",NA,"3-spine",0
"271",2020,2020-08-05,218,3,"E","Fuel Dump",NA,"sculpin",37
"272",2020,2020-08-05,218,3,"E","Fuel Dump",NA,"3-spine",0
"273",2020,2020-08-05,218,2,"E","Fuel Dump",NA,"sculpin",58
"274",2020,2020-08-05,218,2,"E","Fuel Dump",NA,"3-spine",5
"275",2020,2020-08-05,218,10,"J","Fuel Dump",NA,"sculpin",3
"276",2020,2020-08-05,218,10,"J","Fuel Dump",NA,"3-spine",2
"277",2020,2020-08-05,218,9,"J","Fuel Dump",NA,"sculpin",0
"278",2020,2020-08-05,218,9,"J","Fuel Dump",NA,"3-spine",0
"279",2020,2020-08-05,218,8,"J","Fuel Dump",NA,"sculpin",0
"280",2020,2020-08-05,218,8,"J","Fuel Dump",NA,"3-spine",0
"281",2020,2020-08-05,218,5,"J","Fuel Dump",NA,"sculpin",4
"282",2020,2020-08-05,218,5,"J","Fuel Dump",NA,"3-spine",0
"283",2020,2020-08-05,218,4,"J","Fuel Dump",NA,"sculpin",0
"284",2020,2020-08-05,218,4,"J","Fuel Dump",NA,"3-spine",0
"285",2020,2020-08-06,219,20,"A","Fuel Dump",NA,"sculpin",7
"286",2020,2020-08-06,219,20,"A","Fuel Dump",NA,"3-spine",1
"287",2020,2020-08-06,219,10,"A","Fuel Dump",NA,"sculpin",6
"288",2020,2020-08-06,219,10,"A","Fuel Dump",NA,"3-spine",3
"289",2020,2020-08-06,219,9,"A","Fuel Dump",NA,"sculpin",1
"290",2020,2020-08-06,219,9,"A","Fuel Dump",NA,"3-spine",2
"291",2020,2020-08-06,219,6,"A","Fuel Dump",NA,"sculpin",8
"292",2020,2020-08-06,219,6,"A","Fuel Dump",NA,"3-spine",6
"293",2020,2020-08-06,219,1,"A","Fuel Dump",NA,"sculpin",3
"294",2020,2020-08-06,219,1,"A","Fuel Dump",NA,"3-spine",3
"295",2020,2020-08-06,219,18,"C","Fuel Dump",NA,"sculpin",1
"296",2020,2020-08-06,219,18,"C","Fuel Dump",NA,"3-spine",1
"297",2020,2020-08-06,219,14,"C","Fuel Dump",NA,"sculpin",0
"298",2020,2020-08-06,219,14,"C","Fuel Dump",NA,"3-spine",1
"299",2020,2020-08-06,219,5,"C","Fuel Dump",NA,"sculpin",1
"300",2020,2020-08-06,219,5,"C","Fuel Dump",NA,"3-spine",1
"301",2020,2020-08-06,219,4,"C","Fuel Dump","clip open on retrevial","sculpin",4
"302",2020,2020-08-06,219,4,"C","Fuel Dump","clip open on retrevial","3-spine",0
"303",2020,2020-08-06,219,3,"C","Fuel Dump",NA,"sculpin",3
"304",2020,2020-08-06,219,3,"C","Fuel Dump",NA,"3-spine",2
"305",2020,2020-08-06,219,19,"E","Fuel Dump",NA,"sculpin",8
"306",2020,2020-08-06,219,19,"E","Fuel Dump",NA,"3-spine",18
"307",2020,2020-08-06,219,15,"E","Fuel Dump",NA,"sculpin",30
"308",2020,2020-08-06,219,15,"E","Fuel Dump",NA,"3-spine",10
"309",2020,2020-08-06,219,11,"E","Fuel Dump",NA,"sculpin",105
"310",2020,2020-08-06,219,11,"E","Fuel Dump",NA,"3-spine",3
"311",2020,2020-08-06,219,8,"E","Fuel Dump",NA,"sculpin",28
"312",2020,2020-08-06,219,8,"E","Fuel Dump",NA,"3-spine",3
"313",2020,2020-08-06,219,7,"E","Fuel Dump",NA,"sculpin",14
"314",2020,2020-08-06,219,7,"E","Fuel Dump",NA,"3-spine",27
"315",2020,2020-08-06,219,17,"J","Fuel Dump",NA,"sculpin",6
"316",2020,2020-08-06,219,17,"J","Fuel Dump",NA,"3-spine",0
"317",2020,2020-08-06,219,16,"J","Fuel Dump",NA,"sculpin",6
"318",2020,2020-08-06,219,16,"J","Fuel Dump",NA,"3-spine",1
"319",2020,2020-08-06,219,13,"J","Fuel Dump",NA,"sculpin",5
"320",2020,2020-08-06,219,13,"J","Fuel Dump",NA,"3-spine",2
"321",2020,2020-08-06,219,12,"J","Fuel Dump",NA,"sculpin",1
"322",2020,2020-08-06,219,12,"J","Fuel Dump",NA,"3-spine",4
"323",2020,2020-08-06,219,2,"J","Fuel Dump",NA,"sculpin",7
"324",2020,2020-08-06,219,2,"J","Fuel Dump",NA,"3-spine",7
"325",2020,2020-08-07,220,16,"A","Fuel Dump",NA,"sculpin",10
"326",2020,2020-08-07,220,16,"A","Fuel Dump",NA,"3-spine",0
"327",2020,2020-08-07,220,9,"A","Fuel Dump",NA,"sculpin",12
"328",2020,2020-08-07,220,9,"A","Fuel Dump",NA,"3-spine",1
"329",2020,2020-08-07,220,5,"A","Fuel Dump",NA,"sculpin",8
"330",2020,2020-08-07,220,5,"A","Fuel Dump",NA,"3-spine",1
"331",2020,2020-08-07,220,3,"A","Fuel Dump",NA,"sculpin",4
"332",2020,2020-08-07,220,3,"A","Fuel Dump",NA,"3-spine",0
"333",2020,2020-08-07,220,2,"A","Fuel Dump",NA,"sculpin",6
"334",2020,2020-08-07,220,2,"A","Fuel Dump",NA,"3-spine",3
"335",2020,2020-08-07,220,19,"C","Fuel Dump",NA,"sculpin",2
"336",2020,2020-08-07,220,19,"C","Fuel Dump",NA,"3-spine",0
"337",2020,2020-08-07,220,17,"C","Fuel Dump",NA,"sculpin",3
"338",2020,2020-08-07,220,17,"C","Fuel Dump",NA,"3-spine",1
"339",2020,2020-08-07,220,15,"C","Fuel Dump",NA,"sculpin",1
"340",2020,2020-08-07,220,15,"C","Fuel Dump",NA,"3-spine",0
"341",2020,2020-08-07,220,13,"C","Fuel Dump",NA,"sculpin",1
"342",2020,2020-08-07,220,13,"C","Fuel Dump",NA,"3-spine",5
"343",2020,2020-08-07,220,8,"C","Fuel Dump",NA,"sculpin",3
"344",2020,2020-08-07,220,8,"C","Fuel Dump",NA,"3-spine",2
"345",2020,2020-08-07,220,20,"E","Fuel Dump",NA,"sculpin",20
"346",2020,2020-08-07,220,20,"E","Fuel Dump",NA,"3-spine",0
"347",2020,2020-08-07,220,18,"E","Fuel Dump",NA,"sculpin",0
"348",2020,2020-08-07,220,18,"E","Fuel Dump",NA,"3-spine",0
"349",2020,2020-08-07,220,14,"E","Fuel Dump",NA,"sculpin",9
"350",2020,2020-08-07,220,14,"E","Fuel Dump",NA,"3-spine",1
"351",2020,2020-08-07,220,7,"E","Fuel Dump",NA,"sculpin",7
"352",2020,2020-08-07,220,7,"E","Fuel Dump",NA,"3-spine",1
"353",2020,2020-08-07,220,6,"E","Fuel Dump",NA,"sculpin",11
"354",2020,2020-08-07,220,6,"E","Fuel Dump",NA,"3-spine",0
"355",2020,2020-08-07,220,12,"J","Fuel Dump",NA,"sculpin",9
"356",2020,2020-08-07,220,12,"J","Fuel Dump",NA,"3-spine",2
"357",2020,2020-08-07,220,11,"J","Fuel Dump",NA,"sculpin",36
"358",2020,2020-08-07,220,11,"J","Fuel Dump",NA,"3-spine",6
"359",2020,2020-08-07,220,10,"J","Fuel Dump",NA,"sculpin",12
"360",2020,2020-08-07,220,10,"J","Fuel Dump",NA,"3-spine",6
"361",2020,2020-08-07,220,4,"J","Fuel Dump",NA,"sculpin",6
"362",2020,2020-08-07,220,4,"J","Fuel Dump",NA,"3-spine",8
"363",2020,2020-08-07,220,1,"J","Fuel Dump",NA,"sculpin",1
"364",2020,2020-08-07,220,1,"J","Fuel Dump",NA,"3-spine",3
"365",2020,2020-08-08,221,20,"A","Fuel Dump","Overall weather was strong SW wind but beach was comparitively calm (3SW), recovery time estimated","sculpin",10
"366",2020,2020-08-08,221,20,"A","Fuel Dump","Overall weather was strong SW wind but beach was comparitively calm (3SW), recovery time estimated","3-spine",1
